city_name,city_id,OBJECTID,CT20,pct_censustract
Arcadia,117,1427,432602,0
Baldwin Park,64,1427,432602,0
El Monte,111,1427,432602,0.9999
Irwindale,116,1427,432602,0.0001
El Monte,111,1428,432700,1
El Monte,111,1429,432801,1
El Monte,111,1430,432802,0.9999
Rosemead,87,1430,432802,0.0001
Rosemead,87,1431,432901,1
El Monte,111,1432,432902,0.1994
Rosemead,87,1432,432902,0.8006
Temple City,51,1432,432902,0
El Monte,111,1433,433103,0.9886
Rosemead,87,1433,433103,0.0054
South El Monte,187,1433,433103,0.0012
Unincorporated,31,1433,433103,0.0048
El Monte,111,1434,433200,1
Baldwin Park,64,1435,433302,0.0004
El Monte,111,1435,433302,0.7535
Industry,3,1435,433302,0.2461
El Monte,111,1436,433304,1
El Monte,111,1437,433305,1
El Monte,111,1438,433306,1
Baldwin Park,64,1439,433307,0.0007
El Monte,111,1439,433307,0.9993
El Monte,111,1440,433402,0.9956
South El Monte,187,1440,433402,0.0044
El Monte,111,1441,433403,1
El Monte,111,1442,433505,0.991
South El Monte,187,1442,433505,0.009
El Monte,111,1443,433506,0.0016
Rosemead,87,1443,433506,0
South El Monte,187,1443,433506,0.9981
Unincorporated,31,1443,433506,0.0002
Unincorporated,31,1443,433506,0.0001
El Monte,111,1444,433601,0.0045
Rosemead,87,1444,433601,0.9955
Rosemead,87,1445,433602,0.9999
South El Monte,187,1445,433602,0.0001
Unincorporated,31,1445,433602,0
South El Monte,187,1446,433803,0.9982
Unincorporated,31,1446,433803,0.0018
El Monte,111,1447,433804,0.0005
South El Monte,187,1447,433804,0.9995
El Monte,111,1448,433901,1
El Monte,111,1449,433903,0.9999
South El Monte,187,1449,433903,0.0001
El Monte,111,1450,434001,0.9659
Industry,3,1450,434001,0.0341
El Monte,111,1451,434003,0.805
Industry,3,1451,434003,0.0053
South El Monte,187,1451,434003,0.0548
Unincorporated,31,1451,434003,0.1349
South El Monte,187,1452,434004,0.7201
Unincorporated,31,1452,434004,0.2799
El Monte,111,1453,434100,0.0014
South El Monte,187,1453,434100,0.9985
Unincorporated,31,1453,434100,0.0001
Pasadena,47,1454,460001,0.1646
Sierra Madre,54,1454,460001,0
Unincorporated,31,1454,460001,0.8354
Pasadena,47,1455,460002,0.9996
Sierra Madre,54,1455,460002,0.0004
Unincorporated,31,1455,460002,0.0001
Pasadena,47,1456,460101,0.1596
Unincorporated,31,1456,460101,0.8404
Unincorporated,31,1457,460200,1
Pasadena,47,1458,460301,0.0001
Unincorporated,31,1458,460301,0.9999
Pasadena,47,1459,460302,0.0011
Unincorporated,31,1459,460302,0.9989
La Canada Flintridge,193,1460,460401,0.0019
Pasadena,47,1460,460401,0.9861
Unincorporated,31,1460,460401,0.012
La Canada Flintridge,193,1461,460501,0.9997
Pasadena,47,1461,460501,0.0003
Unincorporated,31,1461,460501,0
La Canada Flintridge,193,1462,460502,1
Glendale,78,1463,460601,0
La Canada Flintridge,193,1463,460601,0.9998
Unincorporated,31,1463,460601,0.0002
Glendale,78,1464,460700,0.0002
La Canada Flintridge,193,1464,460700,0.9994
Pasadena,47,1464,460700,0.0004
Glendale,78,1465,460800,0
La Canada Flintridge,193,1465,460800,0
Los Angeles,141,1465,460800,0.0001
Pasadena,47,1465,460800,0.9999
Pasadena,47,1466,460900,0.9979
Unincorporated,31,1466,460900,0.0021
Pasadena,47,1467,461000,0.0011
Unincorporated,31,1467,461000,0.9989
Pasadena,47,1468,461100,0.0001
Unincorporated,31,1468,461100,0.9999
Pasadena,47,1469,461200,0.0002
Unincorporated,31,1469,461200,0.9998
Pasadena,47,1470,461300,0.0203
Unincorporated,31,1470,461300,0.9797
Pasadena,47,1471,461400,0.9996
Unincorporated,31,1471,461400,0.0004
Pasadena,47,1472,461501,0.9999
Unincorporated,31,1472,461501,0.0001
Pasadena,47,1473,461502,1
Unincorporated,31,1473,461502,0
Pasadena,47,1474,461600,1
Pasadena,47,1475,461700,1
Pasadena,47,1476,461901,1
Pasadena,47,1477,461902,1
Pasadena,47,1478,462001,1
Pasadena,47,1479,462002,1
Pasadena,47,1480,462100,1
Pasadena,47,1481,462201,1
Pasadena,47,1482,462202,1
Pasadena,47,1483,462301,1
Pasadena,47,1484,462302,1
Pasadena,47,1485,462400,1
Pasadena,47,1486,462500,0.9243
Unincorporated,31,1486,462500,0.0757
Pasadena,47,1487,462600,1
Pasadena,47,1488,462700,1
